 0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 4.260,  5.402,  0.545,  1.860,  0.333,  4.759
 3.822,  5.355,  0.700,  2.011,  6.281,  4.427
 3.838,  6.101,  2.693,  2.177,  0.022,  1.596
 3.727,  5.385,  1.567,  1.389,  0.005,  4.227
 3.843,  5.715,  4.097,  0.777,  0.039,  1.978
 3.617,  2.059,  2.305,  5.242,  0.123,  2.964
 3.500,  2.024,  4.725,  2.233,  0.420,  3.586
 5.511,  1.533,  2.292,  3.667,  4.853,  5.259
 0.463,  6.168,  5.083,  3.855,  0.830,  2.700
 2.705,  0.029,  3.464,  4.317,  1.561,  4.037
 1.396,  2.777,  2.036,  4.470,  0.016,  2.325
 0.934,  0.000,  5.755,  3.783,  2.888,  2.442
 0.894,  3.368,  2.544,  3.411,  3.021,  3.044
 2.672,  1.636,  2.144,  0.863,  1.265,  4.654
 5.169,  1.146,  1.374,  5.946,  2.654,  1.052
 2.049,  4.586,  5.376,  5.150,  1.219,  2.846
 1.164,  5.434,  3.961,  0.158,  2.675,  2.420
 0.581,  3.913,  4.882,  0.722,  3.319,  3.259
 1.047,  4.462,  4.593,  0.593,  2.881,  3.369
 1.089,  4.315,  4.902,  0.174,  2.845,  3.106
 1.083,  4.293,  4.946,  0.186,  2.844,  3.142
 1.083,  4.293,  4.946,  0.185,  2.844,  3.142
